LOCATION,TIME,Value
FIN,2017-12,0.4850525
FIN,2018-01,0.7967334
FIN,2018-02,0.5945303
FIN,2018-03,0.8126053
FIN,2018-04,0.7508398
FIN,2018-05,1.019197
FIN,2018-06,1.1667
FIN,2018-07,1.368369
FIN,2018-08,1.256058
FIN,2018-09,1.263324
FIN,2018-10,1.530109
FIN,2018-11,1.260463
FIN,2018-12,1.18215
FIN,2019-01,1.086849
FIN,2019-02,1.260835
FIN,2019-03,1.120613
FIN,2019-04,1.461071
FIN,2019-05,1.175433
FIN,2019-06,1.016419
FIN,2019-07,0.8314584
FIN,2019-08,1.093964
FIN,2019-09,0.9161794
FIN,2019-10,0.7486631
FIN,2019-11,0.6710104
FIN,2019-12,0.9151981
FIN,2020-01,0.9871958
FIN,2020-02,0.8463035
FIN,2020-03,0.6027024
FIN,2020-04,-0.318933
FIN,2020-05,-0.1645851
FIN,2020-06,-0.03869969
FIN,2020-07,0.5917734
FIN,2020-08,0.2028985
FIN,2020-09,0.1641878
FIN,2020-10,0.1833623
FIN,2020-11,0.2125193
FIN,2020-12,0.2315485
FIN,2021-01,0.8904375
FRA,2017-11,1.175884
FRA,2017-12,1.19225
FRA,2018-01,1.334528
FRA,2018-02,1.183726
FRA,2018-03,1.561728
FRA,2018-04,1.639344
FRA,2018-05,2.023492
FRA,2018-06,2.023293
FRA,2018-07,2.287808
FRA,2018-08,2.25638
FRA,2018-09,2.20073
FRA,2018-10,2.20842
FRA,2018-11,1.891067
FRA,2018-12,1.590574
FRA,2019-01,1.238329
FRA,2019-02,1.317342
FRA,2019-03,1.109489
FRA,2019-04,1.263117
FRA,2019-05,0.9384675
FRA,2019-06,1.170552
FRA,2019-07,1.065066
FRA,2019-08,1.040663
FRA,2019-09,0.9076864
FRA,2019-10,0.7620334
FRA,2019-11,1.034316
FRA,2019-12,1.45936
FRA,2020-01,1.485293
FRA,2020-02,1.426354
FRA,2020-03,0.6737896
FRA,2020-04,0.326233
FRA,2020-05,0.3642289
FRA,2020-06,0.2008032
FRA,2020-07,0.7760108
FRA,2020-08,0.2193401
FRA,2020-09,0.04784689
FRA,2020-10,0.04786521
FRA,2020-11,0.2009185
FRA,2020-12,-0.01905125
DEU,2017-11,1.59204
DEU,2017-12,1.383399
DEU,2018-01,1.39165
DEU,2018-02,1.086957
DEU,2018-03,1.47929
DEU,2018-04,1.277014
DEU,2018-05,2.062868
DEU,2018-06,1.860921
DEU,2018-07,1.853659
DEU,2018-08,1.851852
DEU,2018-09,1.94742
DEU,2018-10,2.341463
DEU,2018-11,2.056807
DEU,2018-12,1.559454
DEU,2019-01,1.372549
DEU,2019-02,1.466276
DEU,2019-03,1.263363
DEU,2019-04,2.036857
DEU,2019-05,1.443696
DEU,2019-06,1.634615
DEU,2019-07,1.724138
DEU,2019-08,1.435407
DEU,2019-09,1.241643
DEU,2019-10,1.143947
DEU,2019-11,1.055662
DEU,2019-12,1.535509
DEU,2020-01,1.740812
DEU,2020-02,1.734104
DEU,2020-03,1.439539
DEU,2020-04,0.8555133
DEU,2020-05,0.5692599
DEU,2020-06,0.8514664
DEU,2020-07,-0.09416196
DEU,2020-08,0
DEU,2020-09,-0.1886792
DEU,2020-10,-0.1885014
DEU,2020-11,-0.2849003
DEU,2020-12,-0.2835539
DEU,2021-01,1.045627
GRC,2017-11,1.142597
GRC,2017-12,0.6521946
GRC,2018-01,-0.1753042
GRC,2018-02,0.05949596
GRC,2018-03,-0.2337637
GRC,2018-04,0.03723165
GRC,2018-05,0.6057603
GRC,2018-06,0.9716138
GRC,2018-07,0.8519518
GRC,2018-08,0.9700429
GRC,2018-09,1.090431
GRC,2018-10,1.768632
GRC,2018-11,0.9867453
GRC,2018-12,0.5631812
GRC,2019-01,0.4389482
GRC,2019-02,0.620247
GRC,2019-03,0.9430231
GRC,2019-04,1.020313
GRC,2019-05,0.2272745
GRC,2019-06,-0.2778766
GRC,2019-07,0.04659723
GRC,2019-08,-0.1703579
GRC,2019-09,-0.07442931
GRC,2019-10,-0.7118279
GRC,2019-11,0.2228283
GRC,2019-12,0.7800956
GRC,2020-01,0.8631724
GRC,2020-02,0.2293238
GRC,2020-03,-0.003773859
GRC,2020-04,-1.435417
GRC,2020-05,-1.142167
GRC,2020-06,-1.569244
GRC,2020-07,-1.808604
GRC,2020-08,-1.908609
GRC,2020-09,-1.982161
GRC,2020-10,-1.767765
GRC,2020-11,-2.065083
GRC,2020-12,-2.320246
GRC,2021-01,-1.96412
HUN,2017-11,2.5
HUN,2017-12,2.1
HUN,2018-01,2.1
HUN,2018-02,1.9
HUN,2018-03,2
HUN,2018-04,2.3
HUN,2018-05,2.8
HUN,2018-06,3.1
HUN,2018-07,3.4
HUN,2018-08,3.4
HUN,2018-09,3.6
HUN,2018-10,3.8
HUN,2018-11,3.1
HUN,2018-12,2.7
HUN,2019-01,2.7
HUN,2019-02,3.1
HUN,2019-03,3.7
HUN,2019-04,3.9
HUN,2019-05,3.9
HUN,2019-06,3.4
HUN,2019-07,3.3
HUN,2019-08,3.1
HUN,2019-09,2.8
HUN,2019-10,2.9
HUN,2019-11,3.4
HUN,2019-12,4
HUN,2020-01,4.7
HUN,2020-02,4.4
HUN,2020-03,3.9
HUN,2020-04,2.4
HUN,2020-05,2.2
HUN,2020-06,2.9
HUN,2020-07,3.8
HUN,2020-08,3.9
HUN,2020-09,3.4
HUN,2020-10,3
HUN,2020-11,2.7
HUN,2020-12,2.7
ISL,2017-11,1.733313
ISL,2017-12,1.870849
ISL,2018-01,2.371442
ISL,2018-02,2.23723
ISL,2018-03,2.756066
ISL,2018-04,2.268235
ISL,2018-05,1.995368
ISL,2018-06,2.61825
ISL,2018-07,2.704568
ISL,2018-08,2.620306
ISL,2018-09,2.749057
ISL,2018-10,2.844474
ISL,2018-11,3.267375
ISL,2018-12,3.738919
ISL,2019-01,3.386141
ISL,2019-02,2.980616
ISL,2019-03,2.937778
ISL,2019-04,3.275407
ISL,2019-05,3.589122
ISL,2019-06,3.344101
ISL,2019-07,3.062952
ISL,2019-08,3.164997
ISL,2019-09,2.993297
ISL,2019-10,2.7844
ISL,2019-11,2.655934
ISL,2019-12,2.030462
ISL,2020-01,1.698286
ISL,2020-02,2.438648
ISL,2020-03,2.130863
ISL,2020-04,2.265598
ISL,2020-05,2.576473
ISL,2020-06,2.65082
ISL,2020-07,3.023342
ISL,2020-08,3.198588
ISL,2020-09,3.503318
ISL,2020-10,3.570388
ISL,2020-11,3.492636
ISL,2020-12,3.575357
ISL,2021-01,4.29919
IRL,2017-11,0.5
IRL,2017-12,0.4
IRL,2018-01,0.201005
IRL,2018-02,0.4995005
IRL,2018-03,0.1986097
IRL,2018-04,-0.3956479
IRL,2018-05,0.3964321
IRL,2018-06,0.3960396
IRL,2018-07,0.7920792
IRL,2018-08,0.6903353
IRL,2018-09,0.8928571
IRL,2018-10,0.8937438
IRL,2018-11,0.5970149
IRL,2018-12,0.6972111
IRL,2019-01,0.7021063
IRL,2019-02,0.5964215
IRL,2019-03,1.090188
IRL,2019-04,1.688183
IRL,2019-05,0.9871668
IRL,2019-06,1.084813
IRL,2019-07,0.4911591
IRL,2019-08,0.6856024
IRL,2019-09,0.8849558
IRL,2019-10,0.6889764
IRL,2019-11,1.088032
IRL,2019-12,1.285856
IRL,2020-01,1.294821
IRL,2020-02,1.086957
IRL,2020-03,0.6862745
IRL,2020-04,-0.09765625
IRL,2020-05,-0.4887586
IRL,2020-06,-0.3902439
IRL,2020-07,-0.3910069
IRL,2020-08,-0.9727626
IRL,2020-09,-1.169591
IRL,2020-10,-1.466276
IRL,2020-11,-1.076321
IRL,2020-12,-0.9765625
IRL,2021-01,-0.1966568
ITA,2017-11,0.9009009
ITA,2017-12,0.8973081
ITA,2018-01,0.8946322
ITA,2018-02,0.4950495
ITA,2018-03,0.7920792
ITA,2018-04,0.4930966
ITA,2018-05,0.9881423
ITA,2018-06,1.285856
ITA,2018-07,1.482213
ITA,2018-08,1.576355
ITA,2018-09,1.383399
ITA,2018-10,1.584158
ITA,2018-11,1.587302
ITA,2018-12,1.086957
ITA,2019-01,0.8866995
ITA,2019-02,0.9852217
ITA,2019-03,0.9823183
ITA,2019-04,1.07949
ITA,2019-05,0.7827789
ITA,2019-06,0.6835938
ITA,2019-07,0.3894839
ITA,2019-08,0.3879728
ITA,2019-09,0.2923976
ITA,2019-10,0.1949318
ITA,2019-11,0.1953125
ITA,2019-12,0.4887586
ITA,2020-01,0.4882813
